tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Copa do Brasil,Marcilio Dias,1.0,0.0,Chapecoense,6.0,2.0,174.0,110.0,18.0,13.0,22:00:00,2023-02-21,1.0,-1.0,WON,LOST,8.0
Copa do Brasil,Flamengo,1.0,1.0,Corinthians,2.0,9.0,94.0,114.0,13.0,16.0,01:45:00,2022-10-20,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,Corinthians,0.0,0.0,Flamengo,3.0,5.0,72.0,91.0,13.0,17.0,01:45:00,2022-10-13,0.0,0.0,DRAW,DRAW,8.0
Copa do Brasil,Corinthians,3.0,0.0,Fluminense,5.0,10.0,91.0,86.0,17.0,10.0,00:00:00,2022-09-16,3.0,-3.0,WON,LOST,15.0
Copa do Brasil,Flamengo,1.0,0.0,Sao Paulo,7.0,6.0,100.0,109.0,10.0,15.0,01:45:00,2022-09-15,1.0,-1.0,WON,LOST,13.0
Copa do Brasil,Sao Paulo,1.0,3.0,Flamengo,17.0,2.0,90.0,80.0,21.0,6.0,01:24:28,2022-08-25,-2.0,2.0,LOST,WON,19.0
Copa do Brasil,Fluminense,2.0,2.0,Corinthians,6.0,5.0,93.0,86.0,15.0,10.0,23:15:44,2022-08-24,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,America MG,2.0,2.0,Sao Paulo,4.0,1.0,108.0,78.0,12.0,8.0,01:00:00,2022-08-19,0.0,0.0,DRAW,DRAW,5.0
Copa do Brasil,Corinthians,4.0,1.0,Atletico Goianiense,7.0,2.0,126.0,90.0,15.0,9.0,01:30:00,2022-08-18,3.0,-3.0,WON,LOST,9.0
Copa do Brasil,Athletico Paranaense,0.0,1.0,Flamengo,7.0,4.0,101.0,101.0,9.0,13.0,01:30:00,2022-08-18,-1.0,1.0,LOST,WON,11.0
Copa do Brasil,Fluminense,2.0,2.0,Fortaleza FC,9.0,3.0,126.0,69.0,14.0,13.0,00:00:00,2022-08-18,0.0,0.0,DRAW,DRAW,12.0
Copa do Brasil,Fortaleza FC,0.0,1.0,Fluminense,7.0,3.0,69.0,68.0,11.0,11.0,00:30:00,2022-07-29,-1.0,1.0,LOST,WON,10.0
Copa do Brasil,Sao Paulo,1.0,0.0,America MG,5.0,4.0,98.0,76.0,10.0,3.0,00:00:00,2022-07-29,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Atletico Goianiense,2.0,0.0,Corinthians,4.0,7.0,81.0,90.0,7.0,8.0,01:30:00,2022-07-28,2.0,-2.0,WON,LOST,11.0
Copa do Brasil,Flamengo,0.0,0.0,Athletico Paranaense,7.0,3.0,115.0,66.0,24.0,4.0,01:30:00,2022-07-28,0.0,0.0,DRAW,DRAW,10.0
Copa do Brasil,Botafogo RJ,0.0,2.0,America MG,6.0,3.0,136.0,83.0,28.0,10.0,01:00:00,2022-07-15,-2.0,2.0,LOST,WON,9.0
Copa do Brasil,Palmeiras,2.0,1.0,Sao Paulo,13.0,5.0,79.0,101.0,17.0,9.0,00:00:00,2022-07-15,1.0,-1.0,WON,LOST,18.0
Copa do Brasil,Santos,1.0,0.0,Corinthians,7.0,1.0,140.0,73.0,12.0,7.0,01:30:00,2022-07-14,1.0,-1.0,WON,LOST,8.0
Copa do Brasil,Flamengo,2.0,0.0,Atletico Mineiro,4.0,5.0,110.0,95.0,21.0,5.0,01:30:00,2022-07-14,2.0,-2.0,WON,LOST,9.0
Copa do Brasil,Ceara,1.0,0.0,Fortaleza FC,5.0,4.0,127.0,77.0,12.0,17.0,00:00:00,2022-07-14,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Goias,0.0,3.0,Atletico Goianiense,7.0,4.0,96.0,94.0,12.0,11.0,23:00:00,2022-07-13,-3.0,3.0,LOST,WON,11.0
Copa do Brasil,Cruzeiro,0.0,3.0,Fluminense,4.0,5.0,139.0,132.0,16.0,11.0,01:00:00,2022-07-13,-3.0,3.0,LOST,WON,9.0
Copa do Brasil,Athletico Paranaense,2.0,1.0,EC Bahia,7.0,5.0,121.0,93.0,13.0,7.0,00:30:00,2022-07-13,1.0,-1.0,WON,LOST,12.0
Copa do Brasil,America MG,3.0,0.0,Botafogo RJ,8.0,5.0,93.0,112.0,18.0,20.0,23:00:00,2022-06-30,3.0,-3.0,WON,LOST,13.0
Copa do Brasil,Sao Paulo,1.0,0.0,Palmeiras,4.0,1.0,91.0,101.0,13.0,5.0,00:00:00,2022-06-24,1.0,-1.0,WON,LOST,5.0
Copa do Brasil,Fluminense,2.0,1.0,Cruzeiro,8.0,3.0,163.0,59.0,32.0,5.0,23:00:00,2022-06-23,1.0,-1.0,WON,LOST,11.0
Copa do Brasil,Corinthians,4.0,0.0,Santos,9.0,4.0,101.0,88.0,13.0,6.0,01:30:00,2022-06-23,4.0,-4.0,WON,LOST,13.0
Copa do Brasil,Atletico Mineiro,2.0,1.0,Flamengo,3.0,6.0,84.0,131.0,7.0,10.0,01:30:00,2022-06-23,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Fortaleza FC,2.0,0.0,Ceara,9.0,6.0,72.0,122.0,16.0,13.0,00:00:00,2022-06-23,2.0,-2.0,WON,LOST,15.0
Copa do Brasil,EC Bahia,1.0,2.0,Athletico Paranaense,5.0,3.0,140.0,111.0,18.0,10.0,23:30:00,2022-06-22,-1.0,1.0,LOST,WON,8.0
